,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
science,-1.6187265965112287,4.108542278825485,-1.4762713938040464,-1.614053157914326,1.3156357240016434,-1.2469661184152787,1.4156937665158165,1.556529350372596
mathematics,-0.6392857384134788,-1.0807613283457433,-1.2656735078403216,-1.7667890498330685,-1.316996721882083,-1.5607814336994512,-0.4549442473983551,0.12696874294689567
physics,-0.034817517480540905,1.694419519495623,-1.3272792249044114,-1.3463813627363943,0.15448352200885837,-1.683544889925188,0.991937688834707,0.3192938758883133
chemistry,-1.1907498254687685,0.02152709664622615,-0.11169253244368396,-1.5163383266915298,-0.27741847274543274,-1.3028036722916354,0.8561536918426587,0.3873002509982115
biology,-1.1298155892548076,-0.5512065471119346,1.2072496254899492,0.8746202575076826,-0.7636693156791976,-0.32189214270476424,-1.0108348168963412,0.06216277093405207
statistics,0.04109370223437889,2.2268012248350986,-0.8935332193261576,0.4098148954421963,0.20714665628389575,-1.0878719854347383,0.19134286841972653,0.9826056181794196
technology,4.237751417723659,-0.5518888589655765,2.327983220457433,1.2756587933352646,-0.6135553126298626,1.6479927814640698,-0.39679276489648674,-0.7253522515794082
scientist,-0.5864173614294383,-0.6982781800105897,-0.5160338053932804,-0.7590770609804799,-0.8228566954503386,-0.6616920168397994,-0.5367847052584251,1.3558679347135953
school,-1.4446876104850839,2.692333346147443,-1.2822724921938122,-1.2830968116189014,4.863902394593914,-0.9197425494616125,2.0229200184576843,0.08598900206004423
teacher,0.5897168425982938,0.2452350737742817,0.8519530194647713,1.1908452158703495,1.0820545598127875,0.44706859949780087,2.3232219085600496,3.2457410625086864
